scope,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio
CC,baseline,none,task,215692,0.5461491385865029,0.3321814466070113,14,215678,148,5679,0.0006862081436215099,0.026330919240719963,38.37162162162162
CC,baseline,none,social,184616,0.6098658837803874,0.40289260097251395,14,184602,88,4412,0.00047670122750566085,0.023900066088124724,50.13636363636363
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,215692,0.546297498284591,0.3322456921014081,14,215678,148,3159,0.0006862081436215099,0.01464683463311047,21.344594594594593
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,184616,0.6104725484248386,0.40357751310756135,14,184602,88,2462,0.00047670122750566085,0.013336800251351557,27.977272727272727
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,215692,0.5467564861005508,0.3327373068847472,14,215678,148,2740,0.0006862081436215099,0.012704123740019845,18.513513513513512
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,184616,0.611750877497075,0.4052504377610976,14,184602,88,2136,0.00047670122750566085,0.011570838885819222,24.272727272727273
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,215692,0.5476188268456874,0.3337686524501987,14,215678,148,2313,0.0006862081436215099,0.01072432051484157,15.628378378378379
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,184616,0.6122492091693028,0.40582748471963165,14,184602,88,1837,0.00047670122750566085,0.00995113812418067,20.875
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,215692,0.5484765313502588,0.334635660695238,14,215678,148,1885,0.0006862081436215099,0.008739880748152339,12.736486486486486
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,184616,0.6137767040776531,0.40785790300518904,14,184602,88,1513,0.00047670122750566085,0.008196010877455282,17.193181818181817
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,215692,0.5510913710290599,0.33754400423016306,14,215678,148,1522,0.0006862081436215099,0.007056816179675257,10.283783783783784
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,184616,0.6188466871777094,0.4144480085382301,14,184602,88,1180,0.00047670122750566085,0.006392130096098634,13.409090909090908
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,215692,0.5559084249763552,0.3427605082143884,14,215678,148,1129,0.0006862081436215099,0.0052346553658694905,7.628378378378378
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,184616,0.6252708324305586,0.42309823071269265,14,184602,88,846,0.00047670122750566085,0.004582832255338512,9.613636363636363
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,215692,0.5621534410177476,0.35013136472367506,14,215678,148,929,0.0006862081436215099,0.004307347063678261,6.277027027027027
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,184616,0.6303408155306149,0.42955025743049813,14,184602,88,683,0.00047670122750566085,0.0036998515725723447,7.761363636363637
CC,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,215692,0.546520037831723,0.3325215826176069,14,215678,148,2780,0.0006862081436215099,0.01288958540045809,18.783783783783782
CC,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,184616,0.6114800450665164,0.4048803125506946,14,184602,88,2186,0.00047670122750566085,0.011841691855992893,24.84090909090909
CC,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,task,215692,0.5476141906051221,0.3338175031975743,14,215678,148,2343,0.0006862081436215099,0.010863416760170254,15.83108108108108
