scope,mode,param,head,class,support,predicted,precision,recall,f1,true_positive
CC,baseline,none,task,0,124893,87491,0.8762501285846545,0.613837444852794,0.7219376224197679,76664
CC,baseline,none,task,1,19302,68195,0.1545421218564411,0.5460055952751011,0.2408996879893025,10539
CC,baseline,none,task,2,26642,8010,0.33607990012484396,0.10104346520531492,0.15537342721920813,2692
CC,baseline,none,task,3,44855,51996,0.5347142087852912,0.6198417121837031,0.5741396578249064,27803
CC,baseline,none,social,0,13381,20241,0.3869868089521269,0.5853822584261266,0.46594491701861873,7833
CC,baseline,none,social,1,13735,7800,0.3351282051282051,0.19031670913724064,0.24276758764801487,2614
CC,baseline,none,social,2,60794,72958,0.6217412758025165,0.746142711451788,0.6782851845206053,45361
CC,baseline,none,social,3,2700,8871,0.06301431631157704,0.20703703703703705,0.09662086250108028,559
CC,baseline,none,social,4,94006,74746,0.783801139860327,0.6232155394336532,0.6943443633260642,58586
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,0,124893,87565,0.8769713926797237,0.6148623221477585,0.722891112596372,76792
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,1,19302,68242,0.15503648779344098,0.5481297274893794,0.24170702732340305,10580
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,2,26642,7980,0.3368421052631579,0.10089332632685234,0.15527699150828952,2688
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,3,44855,51905,0.536229650322705,0.6205105339427043,0.5752997106242249,27833
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,0,13381,20249,0.3865376067953973,0.5849338614453329,0.4654772524531668,7827
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,1,13735,7757,0.337114863993812,0.19038951583545685,0.24334636143681368,2615
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,2,60794,73058,0.6220537107503628,0.7475408757443168,0.679048501329827,45446
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,3,2700,8814,0.0638756523712276,0.20851851851851852,0.09779398992530833,563
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,4,94006,74738,0.7845941823436539,0.6237793332340489,0.6950054520457023,58639
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,0,124893,87628,0.8765691331537865,0.6150224592250967,0.7228650345142363,76812
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,1,19302,68251,0.15432740912221066,0.5456947466583774,0.24060854568090187,10533
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,2,26642,7911,0.33586145872835294,0.09972975001876735,0.1537927242207623,2657
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,3,44855,51902,0.5365496512658472,0.6208449448222049,0.5756276031708301,27848
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,0,13381,20234,0.38721953148166455,0.5855317240863912,0.4661609400565224,7835
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,1,13735,7777,0.3384338433843384,0.19162722970513288,0.2447006322052808,2632
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,2,60794,73036,0.6236239662632127,0.7492022239036747,0.6806695060898155,45547
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,3,2700,8697,0.06416005519144533,0.20666666666666667,0.09792050539615689,558
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,4,94006,74872,0.7850999038358799,0.6253005127332298,0.6961475147739788,58782
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,0,124893,87769,0.8769839009217377,0.6163035558438023,0.7238904928948283,76972
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,1,19302,68182,0.1534715907424247,0.5421199875660553,0.23922088610488776,10464
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,2,26642,7788,0.33949666153055985,0.09924179866376398,0.15358698809178042,2644
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,3,44855,51953,0.5370430966450446,0.6220265299297737,0.5764193041897363,27901
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,0,13381,20183,0.38725660209086854,0.5841118003138779,0.46573709927303064,7816
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,1,13735,7662,0.34299138606108065,0.19133600291226793,0.2456419124176286,2628
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,2,60794,73068,0.62411726063393,0.7501233674375761,0.6813434731290433,45603
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,3,2700,8662,0.06545832371276841,0.21,0.09980637211758493,567
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,4,94006,75041,0.7850375128263216,0.6266621279492798,0.6969659325513022,58910
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,0,124893,87939,0.8776765712596232,0.6179849951558534,0.7252856713276199,77182
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,1,19302,68155,0.1544274081138581,0.5452802818360791,0.2406897103719542,10525
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,2,26642,7557,0.3396850602090777,0.09635162525335936,0.1501213485774438,2567
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,task,3,44855,52041,0.5384216291001326,0.6246795229071452,0.5783520475561427,28020
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,0,13381,20174,0.3888172895806484,0.5862043195575817,0.4675309193860826,7844
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,1,13735,7673,0.34328163690864066,0.19177284310156534,0.24607623318385655,2634
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,2,60794,73324,0.6246522284654411,0.7533967167812613,0.6830104833057458,45802
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,3,2700,8459,0.06679276510225796,0.20925925925925926,0.10126355408190699,565
CC,hmm_uniform_start,mix=0.25;strength=2;alpha=1,social,4,94006,74986,0.7859333742298562,0.6269174308022892,0.697476803635675,58934
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,0,124893,88038,0.8794838592425998,0.6199546812071133,0.7272590651431685,77428
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,1,19302,67998,0.15572516838730552,0.5485960004144648,0.24258877434135168,10589
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,2,26642,7454,0.3549771934531795,0.09931686810299527,0.1552088221492257,2646
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,task,3,44855,52202,0.5413777249913796,0.6300523910377884,0.5823588200748013,28261
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,0,13381,20135,0.38907375217283335,0.5854569912562588,0.4674782193579186,7834
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,1,13735,7403,0.3439146292043766,0.18536585365853658,0.24089317816255085,2546
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,2,60794,73561,0.6297222713122442,0.7619666414448795,0.6895612370213241,46323
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,3,2700,8347,0.06768899005630766,0.20925925925925926,0.10229021453788358,565
CC,hmm_uniform_start,mix=0.25;strength=4;alpha=1,social,4,94006,75170,0.7887189038180125,0.6306831478841776,0.7009032013997257,59288
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,0,124893,88548,0.8830013100239418,0.626039890145965,0.7326427443649534,78188
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,1,19302,67821,0.15591041122956018,0.5478188788726557,0.24273727947843854,10574
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,2,26642,7316,0.3536085292509568,0.09710231964567224,0.15236468578832676,2587
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,task,3,44855,52007,0.5440806045340051,0.6308326830899565,0.5842538869732197,28296
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,0,13381,19774,0.3968342267624153,0.5864285180479785,0.473352435530086,7847
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,1,13735,7176,0.3532608695652174,0.184564979978158,0.24245612357132607,2535
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,2,60794,74185,0.6363954977421311,0.776573346053887,0.6995310381614918,47211
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,3,2700,7918,0.07135640313210406,0.20925925925925926,0.10642305518930117,565
CC,hmm_uniform_start,mix=0.25;strength=8;alpha=1,social,4,94006,75563,0.7932189034315736,0.6375976001531817,0.7069452553237915,59938
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,0,124893,89074,0.8842759952399128,0.630667851681039,0.7362443741324597,78766
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,1,19302,67784,0.15775109170305676,0.5539840431043416,0.245573341294812,10693
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,2,26642,6874,0.3615071283095723,0.09327377824487651,0.14828738512949038,2485
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,task,3,44855,51960,0.5495188606620477,0.6365622561587337,0.5898466146774777,28553
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,0,13381,19525,0.3976952624839949,0.5803004259771317,0.4719504041816082,7765
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,1,13735,6943,0.3603629554947429,0.1821623589370222,0.2419963245961892,2502
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,2,60794,74509,0.6400166422848247,0.7844030660920486,0.7048919831784957,47687
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,3,2700,7756,0.07581227436823104,0.21777777777777776,0.11247130833970924,588
CC,hmm_uniform_start,mix=0.25;strength=12;alpha=1,social,4,94006,75883,0.7949474849439269,0.6416930834202073,0.7101460365297342,60323
CC,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,0,124893,87646,0.8766515300184834,0.6152066168640357,0.723020245696084,76835
CC,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,1,19302,68244,0.1546069984174433,0.5466272925085484,0.24103899664176548,10551
CC,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,2,26642,7917,0.33560692181381835,0.09972975001876735,0.15376602332243408,2657
CC,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,task,3,44855,51885,0.5363785294401079,0.6204436517668042,0.5753566260078561,27830
CC,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,social,0,13381,20247,0.3866745690719613,0.5850833271055975,0.46562388485785655,7829
